% format yyyy, mm, dd, h, location, humidity_percentage
humidity_percentage_at_9km(2019,11,1,19,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,19,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,19,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,19,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,19,"Udine",2).
humidity_percentage_at_9km(2019,11,1,19,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,19,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,19,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,19,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,19,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,19,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,19,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,19,"Grado",2).
humidity_percentage_at_9km(2019,11,1,19,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,20,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,20,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,20,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,20,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,20,"Forni",2).
humidity_percentage_at_9km(2019,11,1,20,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,20,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,20,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,20,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,20,"Udine",2).
humidity_percentage_at_9km(2019,11,1,20,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,20,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,20,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,20,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,20,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,20,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,20,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,20,"Grado",2).
humidity_percentage_at_9km(2019,11,1,20,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,21,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,21,"Villa_santina",95).
humidity_percentage_at_9km(2019,11,1,21,"Pontebba",95).
humidity_percentage_at_9km(2019,11,1,21,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,21,"Forni",2).
humidity_percentage_at_9km(2019,11,1,21,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,21,"Barcis",95).
humidity_percentage_at_9km(2019,11,1,21,"Gemona",95).
humidity_percentage_at_9km(2019,11,1,21,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,21,"Udine",2).
humidity_percentage_at_9km(2019,11,1,21,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,21,"Pordenone",95).
humidity_percentage_at_9km(2019,11,1,21,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,21,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,21,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,21,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,21,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,21,"Grado",2).
humidity_percentage_at_9km(2019,11,1,21,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,22,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,22,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,22,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,22,"Tarvisio",95).
humidity_percentage_at_9km(2019,11,1,22,"Forni",2).
humidity_percentage_at_9km(2019,11,1,22,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,22,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,22,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,22,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,22,"Udine",2).
humidity_percentage_at_9km(2019,11,1,22,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,22,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,22,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,22,"Rivignano",2).
humidity_percentage_at_9km(2019,11,1,22,"Palmanova",2).
humidity_percentage_at_9km(2019,11,1,22,"Gorizia",2).
humidity_percentage_at_9km(2019,11,1,22,"Lignano",2).
humidity_percentage_at_9km(2019,11,1,22,"Grado",2).
humidity_percentage_at_9km(2019,11,1,22,"Trieste",2).
humidity_percentage_at_9km(2019,11,1,23,"Sappada",2).
humidity_percentage_at_9km(2019,11,1,23,"Villa_santina",2).
humidity_percentage_at_9km(2019,11,1,23,"Pontebba",2).
humidity_percentage_at_9km(2019,11,1,23,"Tarvisio",2).
humidity_percentage_at_9km(2019,11,1,23,"Forni",2).
humidity_percentage_at_9km(2019,11,1,23,"Stolvizza",2).
humidity_percentage_at_9km(2019,11,1,23,"Barcis",2).
humidity_percentage_at_9km(2019,11,1,23,"Gemona",2).
humidity_percentage_at_9km(2019,11,1,23,"Spilinbergo",2).
humidity_percentage_at_9km(2019,11,1,23,"Udine",2).
humidity_percentage_at_9km(2019,11,1,23,"Cividale",2).
humidity_percentage_at_9km(2019,11,1,23,"Pordenone",2).
humidity_percentage_at_9km(2019,11,1,23,"Codroipo",2).
humidity_percentage_at_9km(2019,11,1,23,"Rivignano",2).
